,x,y
0,2.0255329831497972,2.95
1,2.034716656619185,2.95
2,2.0439003300885727,2.95
3,2.0530840035579603,2.95
4,2.0622676770273483,2.95
5,2.0714513504967362,2.95
6,2.0806350239661238,2.95
7,2.0898186974355113,2.95
8,2.0990023709048993,2.95
9,2.1081860443742872,2.95
10,2.117369717843675,2.95
11,2.1265533913130623,2.95
12,2.1357370647824503,2.95
13,2.1449207382518383,2.95
14,2.154104411721226,2.95
15,2.1632880851906133,2.95
16,2.1724717586600013,2.95
17,2.1816554321293893,2.95
18,2.190839105598777,2.95
19,2.2000227790681643,2.95
20,2.2092064525375523,2.95
21,2.2183901260069403,2.95
22,2.227573799476328,2.95
23,2.2367574729457154,2.95
24,2.2459411464151033,2.95
25,2.2551248198844913,2.95
26,2.264308493353879,2.95
27,2.2734921668232664,2.95
28,2.2826758402926544,2.95
29,2.2918595137620423,2.95
30,2.30104318723143,2.95
31,2.3102268607008174,2.95
32,2.3194105341702054,2.95
33,2.3285942076395933,2.95
34,2.337777881108981,2.95
35,2.3469615545783684,2.95
36,2.3561452280477564,2.95
37,2.3653289015171444,2.95
38,2.374512574986532,2.95
39,2.3836962484559194,2.95
40,2.3928799219253074,2.95
41,2.4020635953946954,2.95
42,2.411247268864083,2.95
43,2.4204309423334704,2.95
44,2.4296146158028584,2.95
45,2.4387982892722464,2.95
46,2.447981962741634,2.95
47,2.4571656362110215,2.95
48,2.4663493096804094,2.95
49,2.4755329831497974,2.95
50,2.4755329831497974,2.95
51,2.4931613508142076,2.950282581089622
52,2.5107716041391894,2.951130033987315
53,2.5283456473990222,2.9525414878779412
54,2.5458654220762753,2.954515492397215
55,2.563312925418156,2.9570500191220526
56,2.580670228935552,2.9601424636549143
57,2.59791949682577,2.963789648299997
58,2.615043004300026,2.967987825328534
59,2.632023155796865,2.9727326808298367
60,2.648842503062789,2.9780193391441325
61,2.6654837630815162,2.983842367872632
62,2.6819298358334533,2.990195783459688
63,2.698163821867114,2.9970730573413036
64,2.714169039664454,3.0044671226536694
65,2.7299290427822562,3.01237038149485
66,2.745427636751963,3.020774712732136
67,2.7606488957205864,3.02967148034706
68,2.775577178815599,3.0390515423094877
69,2.7901971462169906,3.0489052599716744
70,2.804493774919966,3.059222507972624
71,2.818452374172101,3.0699926846425836
72,2.8320586005690807,3.081204722896976
73,2.8452984727935213,3.0928471016085766
74,2.8581583859817146,3.10490785744625
75,2.8706251257035476,3.117374597168083
76,2.882685881541221,3.130234510356276
77,2.894328260252821,3.1434743825807168
78,2.905540298507214,3.157080608977697
79,2.9163104751771733,3.1710392082298315
80,2.926627723178123,3.185335836932807
81,2.9364814408403097,3.1999558043341985
82,2.945861502802738,3.2148840874292115
83,2.9547582704176616,3.2301053463978344
84,2.9631626016549473,3.2456039403675407
85,2.971065860496128,3.2613639434853434
86,2.978459925808494,3.2773691612826834
87,2.9853371996901092,3.2936031473163445
88,2.9916906152771654,3.310049220068281
89,2.9975136440056653,3.326690480087009
90,3.0028003023199608,3.3435098273529325
91,3.007545157821263,3.3604899788497713
92,3.0117433348498004,3.3776134863240275
93,3.015390519494883,3.3948627542142455
94,3.018482964027745,3.4122200577316417
95,3.021017490752582,3.4296675610735217
96,3.0229914952718566,3.447187335750775
97,3.024402949162482,3.464761379010608
98,3.0252504020601756,3.4823716323355898
99,3.0255329831497972,3.5
100,3.0255329831497972,3.5
101,3.0255329831497972,3.5275510204081635
102,3.0255329831497972,3.555102040816327
103,3.0255329831497972,3.58265306122449
104,3.0255329831497972,3.610204081632653
105,3.0255329831497972,3.6377551020408165
106,3.0255329831497972,3.66530612244898
107,3.0255329831497972,3.692857142857143
108,3.0255329831497972,3.720408163265306
109,3.0255329831497972,3.7479591836734696
110,3.0255329831497972,3.775510204081633
111,3.0255329831497972,3.803061224489796
112,3.0255329831497972,3.830612244897959
113,3.0255329831497972,3.8581632653061226
114,3.0255329831497972,3.885714285714286
115,3.0255329831497972,3.913265306122449
116,3.0255329831497972,3.940816326530612
117,3.0255329831497972,3.9683673469387757
118,3.0255329831497972,3.995918367346939
119,3.0255329831497972,4.023469387755102
120,3.0255329831497972,4.051020408163265
121,3.0255329831497972,4.078571428571429
122,3.0255329831497972,4.106122448979592
